,rk,squad,mp,w,d,l,gf,ga,gd,pts,top team scorer,goalkeeper
0,1,Italy,7.0,5.0,2.0,0.0,13.0,4.0,9.0,17.0,"Lorenzo Insigne, Ciro Immobile... - 2",Gianluigi Donnarumma
1,2,England,7.0,5.0,2.0,0.0,11.0,2.0,9.0,17.0,Harry Kane - 4,Jordan Pickford
4,3,Belgium,5.0,4.0,0.0,1.0,9.0,3.0,6.0,12.0,Romelu Lukaku - 4,Thibaut Courtois
2,4,Spain,6.0,2.0,4.0,0.0,13.0,6.0,7.0,10.0,Álvaro Morata - 3,Unai Simón
3,5,Denmark,6.0,3.0,0.0,3.0,12.0,7.0,5.0,9.0,Kasper Dolberg - 3,Kasper Schmeichel
8,6,Netherlands,4.0,3.0,0.0,1.0,8.0,4.0,4.0,9.0,Georginio Wijnaldum - 3,Maarten Stekelenburg
5,7,Czechia,5.0,2.0,1.0,2.0,6.0,4.0,2.0,7.0,Patrik Schick - 5,Tomáš Vaclík
9,8,Sweden,4.0,2.0,1.0,1.0,5.0,4.0,1.0,7.0,Emil Forsberg - 4,Robin Olsen
10,9,France,4.0,1.0,3.0,0.0,7.0,6.0,1.0,6.0,Karim Benzema - 4,Hugo Lloris
11,10,Austria,4.0,2.0,0.0,2.0,5.0,5.0,0.0,6.0,"Marko Arnautović, Stefan Lainer... - 1",Daniel Bachmann
6,11,Switzerland,5.0,1.0,3.0,1.0,8.0,9.0,-1.0,6.0,"Xherdan Shaqiri, Haris Seferović - 3",Yann Sommer
7,12,Ukraine,5.0,2.0,0.0,3.0,6.0,10.0,-4.0,6.0,"Andriy Yarmolenko, Roman Yaremchuk - 2",Heorhiy Bushchan
12,13,Portugal,4.0,1.0,1.0,2.0,7.0,7.0,0.0,4.0,Cristiano Ronaldo - 5,Rui Patrício
13,14,Croatia,4.0,1.0,1.0,2.0,7.0,8.0,-1.0,4.0,Ivan Perišić - 2,Dominik Livaković
14,15,Germany,4.0,1.0,1.0,2.0,6.0,7.0,-1.0,4.0,Kai Havertz - 2,Manuel Neuer
