,min,squad,g+a_1,crdr,starts,pk,g-pk,ast,g-pk_1,crdy,mp,g+a-pk,gls_1,gls,player,g+a,ast_1
0,13,Rep. of Ireland,0.00,0,0,0,0,0,0.00,0,1,0.00,0.00,0,Aaron Connolly,0,0.00
1,513,Scotland,0.00,0,6,0,0,0,0.00,1,6,0.00,0.00,0,Aaron Hickey,0,0.00
2,360,Australia,0.0,0,4,0,0,0,0.0,1,4,0.0,0.0,0,Aaron Mooy,0,0.0
3,266,Wales,0.0,0,3,0,0,0,0.0,1,3,0.0,0.0,0,Aaron Ramsey,0,0.0
4,139,Andorra,0.00,0,1,0,0,0,0.00,2,4,0.00,0.00,0,Aaron Sánchez,0,0.00
5,287,Kazakhstan,0.94,1,4,1,2,0,0.63,2,10,0.63,0.94,3,Abat Ajymbetow,3,0.00
6,93,Morocco,0.0,0,0,0,0,0,0.0,0,3,0.0,0.0,0,Abde Ezzalzouli,0,0.0
7,181,Morocco,0.5,0,2,0,0,1,0.0,1,5,0.5,0.0,0,Abdelhamid Sabiri,1,0.5
8,270,Qatar,0.0,0,3,0,0,0,0.0,0,3,0.0,0.0,0,Abdelkarim Hassan,0,0.0
9,68,Morocco,0.0,0,0,0,0,0,0.0,0,4,0.0,0.0,0,Abderrazak Hamdallah,0,0.0
10,331,Senegal,0.0,0,4,0,0,0,0.0,0,4,0.0,0.0,0,Abdou Diallo,0,0.0
11,1,Ghana,0.0,0,0,0,0,0,0.0,0,1,0.0,0.0,0,Abdul Fatawu Issahaku,0,0.0
12,196,Qatar,0.0,0,2,0,0,0,0.0,0,3,0.0,0.0,0,Abdulaziz Hatem,0,0.0
13,182,Saudi Arabia,0.0,0,2,0,0,0,0.0,2,3,0.0,0.0,0,Abdulelah Al-Amri,0,0.0
14,174,Saudi Arabia,0.0,0,2,0,0,0,0.0,2,2,0.0,0.0,0,Abdulellah Al-Malki,0,0.0
15,45,Saudi Arabia,0.0,0,0,0,0,0,0.0,1,1,0.0,0.0,0,Abdullah Madu,0,0.0
16,35,Saudi Arabia,0.0,0,0,0,0,0,0.0,0,2,0.0,0.0,0,Abdulrahman Al-Aboud,0,0.0
17,32,Türkiye,0.00,0,1,0,0,0,0.00,0,1,0.00,0.00,0,Abdülkadir Ömür,0,0.00
18,450,Türkiye,0.20,0,5,0,1,0,0.20,1,5,0.20,0.20,1,Abdülkerim Bardakcı,1,0.00
19,19,IR Iran,0.0,0,0,0,0,0,0.0,1,1,0.0,0.0,0,Abolfazl Jalali,0,0.0
20,641,Kazakhstan,0.14,0,9,0,0,1,0.00,1,10,0.14,0.00,0,Abzal Beisebekov,1,0.14
21,187,Morocco,0.48,0,2,0,1,0,0.48,1,3,0.48,0.48,1,Achraf Dari,1,0.0
22,631,Morocco,0.14,0,7,0,0,1,0.0,0,7,0.14,0.0,0,Achraf Hakimi,1,0.14
23,116,Poland,0.78,0,0,0,1,0,0.78,0,4,0.78,0.78,1,Adam Buksa,1,0.00
24,900,Slovenia,0.40,0,10,0,1,3,0.10,0,10,0.40,0.10,1,Adam Gnezda Čerin,4,0.30
25,477,Czechia,0.00,0,5,0,0,0,0.00,0,8,0.00,0.00,0,Adam Hložek,0,0.00
26,310,Rep. of Ireland,0.58,0,3,1,1,0,0.29,1,8,0.29,0.58,2,Adam Idah,2,0.00
27,442,Montenegro,0.41,0,5,0,0,2,0.00,0,5,0.41,0.00,0,Adam Marušić,2,0.41
28,22,Slovakia,0.00,0,0,0,0,0,0.00,0,1,0.00,0.00,0,Adam Zreľák,0,0.00
29,63,Bosnia & Herz'na,0.00,0,1,0,0,0,0.00,0,1,0.00,0.00,0,Adi Nalic,0,0.00
30,45,Kazakhstan,0.00,0,0,0,0,0,0.00,1,1,0.00,0.00,0,Adilet Sadybekov,0,0.00
31,99,Bosnia & Herz'na,0.00,0,1,0,0,0,0.00,1,2,0.00,0.00,0,Adnan Kovačević,0,0.00
32,50,San Marino,0.00,0,0,0,0,0,0.00,0,2,0.00,0.00,0,Adolfo Hirsch,0,0.00
33,308,Bosnia & Herz'na,0.00,0,4,0,0,0,0.00,0,4,0.00,0.00,0,Adrian Leon Barišić,0,0.00
34,49,Romania,0.00,0,0,0,0,0,0.00,0,2,0.00,0.00,0,Adrian Rus,0,0.00
35,483,France,0.37,0,5,0,1,1,0.19,1,6,0.37,0.19,1,Adrien Rabiot,2,0.19
36,221,N. Macedonia,0.00,0,3,0,0,0,0.00,0,5,0.00,0.00,0,Agon Elezi,0,0.00
37,11,Uruguay,0.0,0,0,0,0,0,0.0,0,1,0.0,0.0,0,Agustín Canobbio,0,0.0
38,223,IR Iran,0.0,0,3,0,0,0,0.0,0,3,0.0,0.0,0,Ahmad Nourollahi,0,0.0
39,6,Qatar,0.0,0,0,0,0,0,0.0,0,1,0.0,0.0,0,Ahmed Alaaeldin,0,0.0
40,1,N. Macedonia,0.00,0,0,0,0,0,0.00,0,1,0.00,0.00,0,Ahmed Iljazovski,0,0.00
41,1,Luxembourg,0.00,0,0,0,0,0,0.00,0,1,0.00,0.00,0,Aiman Dardari,0,0.00
42,62,Australia,0.0,0,0,0,0,0,0.0,0,3,0.0,0.0,0,Ajdin Hrustic,0,0.0
43,270,Qatar,0.0,0,3,0,0,0,0.0,1,3,0.0,0.0,0,Akram Afif,0,0.0
44,355,Rep. of Ireland,0.00,0,4,0,0,0,0.00,0,6,0.00,0.00,0,Alan Browne,0,0.00
45,46,Ecuador,0.0,0,1,0,0,0,0.0,0,2,0.0,0.0,0,Alan Franco,0,0.0
46,8,Kosovo,0.00,0,0,0,0,0,0.00,0,1,0.00,0.00,0,Alban Ajdini,0,0.00
